,Unnamed: 0,URLs
43,292,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-sikhar-infrastructure-pvt-ltd-in-the-matter-of-iso-at-bse_74988.html
44,293,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mr-tejas-harshadbhai-patel-in-the-matter-of-a-and-m-febcon-limited_74943.html
45,294,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-aadhaar-ventures-india-ltd-in-respect-of-jyoti-munver_74901.html
46,295,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-smc-capitals-limited_74853.html
47,297,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-metropolitan-stock-exchange-of-india-limited-ms-latika-kundu-and-mr-saket-bhansali-in-the-matter-of-metropolitan-stock-exchange-of-india-limited_74844.html
48,298,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-crosseas-capital-services-ltd-in-the-matter-of-trading-in-the-scrip-of-wockhardt-ltd_74820.html
49,301,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-three-entities-in-the-matter-of-wockhardt-limited_74826.html
50,302,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-11-entities-in-the-matter-of-akashdeep-metal-industries-limited_74797.html
51,303,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mr-arun-panchariya-in-the-matter-of-gdr-issue-of-teledata-technology-solutions-ltd_74791.html
52,305,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-m-s-infomerics-valuation-and-rating-pvt-ltd-_74777.html
53,306,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-arun-panchariya-in-the-matter-of-gdr-issue-of-nakoda-ltd_74783.html
54,307,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-five-entities-in-the-matter-of-art-nirman-limited_74759.html
55,308,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mr-arun-panchariya-in-the-matter-of-m-s-texmo-pipes-and-products-ltd-_74781.html
56,309,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-mr-kapil-wadhawan-and-mr-dheeraj-wadhawan-in-the-matter-of-transaction-of-the-shares-held-by-dhfl-in-dhfl-pramerica-life-insurance-company-ltd-and-related-matters-t-_74775.html
57,312,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-two-entities-in-the-matter-of-sheen-agro-and-plantation-limited_74761.html
58,313,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-the-matter-of-trading-in-iso-at-bse-in-respect-of-saroj-devi-bajoria_74771.html
59,315,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-in-respect-of-five-entities-in-the-matter-of-art-nirman-limited_74748.html
60,316,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-anuj-bajoria-huf-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74767.html
61,317,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-bimla-devi-agarwal-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74765.html
62,318,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-ritu-bajoria-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74769.html
63,320,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-anuj-bajoria-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74609.html
64,321,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-bhavisha-gurbani-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74611.html
65,322,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-bijalbhai-merubhai-tramta-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74602.html
66,323,https://www.sebi.gov.in/enforcement/orders/jul-2023/adjudication-order-against-rishi-bajoria-huf-in-the-matter-of-trading-in-illiquid-stock-option-at-bse_74604.html
